,0,1,2
167,"The First Novel, Writer, Director, Producer 1991 Short",1991,https://en.wikipedia.org/wiki/Leslie_Harris_(director)
168,The Equalizer,1988,https://en.wikipedia.org/wiki/Kasi_Lemmons
169,Girltrash!,2007–2009,https://en.wikipedia.org/wiki/Angela_Robinson_(filmmaker)
170,List of lesbian filmmakers,0000,https://en.wikipedia.org/wiki/Yoruba_Richen
171,My Dream is to Marry an African Prince,1984,https://en.wikipedia.org/wiki/Alile_Sharon_Larkin
172,Girlfriends,2003,https://en.wikipedia.org/wiki/Jo_D._Jonz
173,The Immortal Life of Henrietta Lacks,2017,https://en.wikipedia.org/wiki/George_C._Wolfe
174,73  Short),2008,https://en.wikipedia.org/wiki/M._Asli_Dukan
175,Life Is Hot in Cracktown,2009,https://en.wikipedia.org/wiki/Omar_Regan
176,Runaway,2010,https://en.wikipedia.org/wiki/Kanye_West
177,Frederick Douglass: The House on Cedar Hill,1953,https://en.wikipedia.org/wiki/Carlton_Moss
178,Saturday Night Life,2006,https://en.wikipedia.org/wiki/Ava_DuVernay
179,She's Gotta Have It,1986,https://en.wikipedia.org/wiki/Spike_Lee
180,My Christmas Inn,2018,https://en.wikipedia.org/wiki/Tanya_Wright
181,Back Door Man,1946,https://en.wikipedia.org/wiki/William_Forest_Crouch
182,America's War on Poverty,0000,https://en.wikipedia.org/wiki/Henry_Hampton
183,South of Sunset,1993,https://en.wikipedia.org/wiki/Reggie_Rock_Bythewood
184,"^ a b ""2014 Sundance Film Festival Announces Feature Film Awards"". sundance.org. January 26, 2014. Archived from the original on January 29, 2014. Retrieved October 12, 2014.",2014,https://en.wikipedia.org/wiki/Justin_Simien
185,NYPD Blue,2003,https://en.wikipedia.org/wiki/Jo_D._Jonz
186,Night Shift,1982,https://en.wikipedia.org/wiki/Kevin_Rodney_Sullivan
187,Best Sound Editing Paparazzi Eye In The Dark[43],2011 GHANA MOVIE AWARDS,https://en.wikipedia.org/wiki/Tim_Wilson_(filmmaker)
188,Hair Show,2004,https://en.wikipedia.org/wiki/Leslie_Small
189,Mighty Joe Young,1998,https://en.wikipedia.org/wiki/Regina_King
190,A Different World,1987,https://en.wikipedia.org/wiki/Keenen_Ivory_Wayans
191,The KKK Boutique Ain’t Just Rednecks – Director,1994,https://en.wikipedia.org/wiki/Camille_Billops
192,"Barack & Curtis: Manhood, Power, & Respect",0000,https://en.wikipedia.org/wiki/Byron_Hurt
193,"^ a b ""With 'Dear White People,' Justin Simien wants to start conversations"". Los Angeles Times. October 10, 2014. Retrieved October 12, 2014.",2014,https://en.wikipedia.org/wiki/Justin_Simien
194,American Playhouse: Hallelujah,1993,https://en.wikipedia.org/wiki/Charles_Lane_(filmmaker)
195,Remembrance: A Portrait Study,1967,https://en.wikipedia.org/wiki/Edward_Owens_(filmmaker)
196,Malcolm X,1992,https://en.wikipedia.org/wiki/Malcolm_D._Lee
197,Time,2001,https://en.wikipedia.org/wiki/Roger_Ross_Williams
