,Name,wiki_link
63,Vaginal Davis,/wiki/Vaginal_Davis
64,Zeinabu irene Davis,/wiki/Zeinabu_irene_Davis
65,Lacey Schwartz Delgado,/wiki/Lacey_Schwartz_Delgado
66,Michael J. Dennis,/wiki/Michael_J._Dennis
67,Ernest Dickerson,/wiki/Ernest_Dickerson
68,Ivan Dixon,/wiki/Ivan_Dixon
69,Doug E. Doug,/wiki/Doug_E._Doug
70,M. Asli Dukan,/wiki/M._Asli_Dukan
71,Bill Duke,/wiki/Bill_Duke
72,Cheryl Dunye,/wiki/Cheryl_Dunye
73,Charles S. Dutton,/wiki/Charles_S._Dutton
74,Ava DuVernay,/wiki/Ava_DuVernay
75,Pierre Edwards,/wiki/Pierre_Edwards
76,Beti Ellerson,/wiki/Beti_Ellerson
77,Erma Elzy,/wiki/Erma_Elzy
78,John Evans,/wiki/John_Evans_(director)
79,Rodney Evans,/wiki/Rodney_Evans_(filmmaker)
80,Ronald Fair,/wiki/Ronald_Fair
81,Kent Faulcon,/wiki/Kent_Faulcon
82,Sabaah Folayan,/wiki/Sabaah_Folayan
83,Maya Forbes,/wiki/Maya_Forbes
84,Yance Ford,/wiki/Yance_Ford
85,Carl Franklin,/wiki/Carl_Franklin
